日期,标题,分数
0209am,同舟共济战疫情 习近平这样说.txt,49.48004395
0209am,王贺胜履新湖北省委常委前，已赴鄂工作多日.txt,211.4636199
0209am,中央赴湖北指导组：应收尽收 刻不容缓.txt,78.62310787
0209pm,全国一盘棋 习近平的战“疫”部署.txt,50.0306117
0209pm,王贺胜履新湖北省委常委前，已赴鄂工作多日.txt,211.4636199
0209pm,中央赴湖北指导组：应收尽收 刻不容缓.txt,78.62310787
0209pm,卫健委：全国除湖北外其他省份确诊病例下降超40%.txt,30.59612195
0209pm,湖北以外地区新增病例连降5天.txt,22.10649092
0209pm,武汉之外疫情最严重 直击黄冈孝感一线防疫现状.txt,110.7413481
0210am,卫健委：全国除湖北外其他省份确诊病例下降超40%.txt,30.59612195
0210am,湖北以外地区新增病例连降5天.txt,22.10649092
0210am,武汉之外疫情最严重 直击黄冈孝感一线防疫现状.txt,110.7413481
0210am,钟南山：新型冠状病毒和SARS是两回事.txt,25.80035964
0210pm,卫健委：全国除湖北外其他省份确诊病例下降超40%.txt,30.59612195
0210pm,湖北以外地区新增病例连降5天.txt,22.10649092
0210pm,陈一新任中央指导组副组长 与武汉各区一把手群聊记录首公开.txt,334.0883007
0210pm,武汉之外疫情最严重 直击黄冈孝感一线防疫现状.txt,110.7413481
0210pm,习近平在北京调研指导新冠肺炎疫情防控工作.txt,24.75656136
0210pm,防控疫情不力 拟升副厅级的她被免职.txt,125.4257237
0211am,习近平：坚决打赢疫情防控的人民战争总体战阻击战.txt,693.5592522
0211am,武汉金银潭医院院长：新冠肺炎是自限性疾病.txt,6.129795341
0211am,陈一新任中央指导组副组长 与武汉各区一把手群聊记录首公开.txt,334.0883007
0211am,湖北省卫健委党组书记主任双双被免职.txt,162.7835249
0211am,习近平在北京调研指导新冠肺炎疫情防控工作.txt,24.75656136
0211am,防控疫情不力 拟升副厅级的她被免职.txt,125.4257237
0211pm,陈一新任中央指导组副组长 与武汉各区一把手群聊记录首公开.txt,334.0883007
0211pm,湖北省卫健委党组书记主任双双被免职.txt,162.7835249
0211pm,对全国疫情防控 习近平再作部署.txt,20.64799267
0211pm,习近平在北京调研指导新冠肺炎疫情防控工作.txt,24.75656136
0211pm,防控疫情不力 拟升副厅级的她被免职.txt,125.4257237
